name,id,answer
Tall Iced Coffee,1,2
Tall Iced Coffee,1,4
Tall Iced Coffee,1,29
Tall Iced Coffee,1,21
Tall Iced Coffee,1,18
Tall Iced Coffee,1,11
Grande Java Chip Frappucino,2,2
Grande Java Chip Frappucino,2,3
Grande Java Chip Frappucino,2,9
Grande Java Chip Frappucino,2,12
Venti Caremel Macchiato,3,2
Venti Caremel Macchiato,3,4
Venti Caremel Macchiato,3,29
Venti Caremel Macchiato,3,20
Venti Caremel Macchiato,3,14
Venti Caremel Macchiato,3,22
Venti Caremel Macchiato,3,19
Venti Caremel Macchiato,3,13
Tall Fuzzy Peach Tea,4,2
Tall Fuzzy Peach Tea,4,4
Tall Fuzzy Peach Tea,4,28
Tall Fuzzy Peach Tea,4,31
Tall Fuzzy Peach Tea,4,11
Grande Pumpkin Spice Frappucino,5,1
Grande Pumpkin Spice Frappucino,5,3
Grande Pumpkin Spice Frappucino,5,6
Grande Pumpkin Spice Frappucino,5,12